Close,Volume,EMA5,EMA13,EMA26,MACD,SIGNAL,RSI,ROC,worked?,percentage_returns given
1136.95,3594297,1126.883592,1124.903001,1113.181837,12.01615758,17.4989081,58.49071524,2.635973821,1,3.13558204
1147.4,6885679,1133.722395,1128.116858,1115.716515,12.897172,16.57856088,61.17812275,3.457914431,0,2.196269827
1160.75,8929987,1142.731597,1132.778736,1119.052329,14.50540642,16.16392999,64.3532281,2.336345603,0,1.020891665
1155.65,4729914,1147.037731,1136.046059,1121.763268,15.19327775,15.96979954,62.25837776,4.192399585,0,1.466707048
1138.6,2541804,1144.225154,1136.410908,1123.010433,14.19895156,15.61562994,55.72723668,3.246282191,0,2.986123309
1150.2,3308013,1146.216769,1138.380778,1125.024475,14.18346577,15.32919711,58.88723087,4.777954908,0,1.947487393
1172.6,8634208,1155.01118,1143.269238,1128.548588,15.79659269,15.42267623,64.20092095,5.21782045,0,1.121439536
1160.75,3289926,1156.92412,1145.76649,1130.933878,15.93512126,15.52516523,59.79780852,2.898807677,0,2.153779884
1155.9,4050728,1156.582746,1147.214134,1132.78322,15.47516364,15.51516491,58.04320901,2.133863486,0,2.582403322
1151.35,3344867,1154.838498,1147.804972,1134.158537,14.57547987,15.32722791,56.37207567,1.266546462,0,2.987796934
1144.1,3185208,1151.258998,1147.275691,1134.894942,13.12614952,14.88701223,53.71813094,-0.287606763,1,3.640416048
1156.65,3046507,1153.055999,1148.614878,1136.506428,12.84218813,14.47804741,57.45230287,-0.353219901,0,2.515886396
1163.4,2110482,1156.503999,1150.727038,1138.498544,13.01182308,14.18480254,59.35192882,0.670618267,0,1.921093347
1185.75,3838485,1166.252666,1155.730318,1141.998652,14.77935105,14.30371224,64.9344583,4.141050413,0,-0.164452878
1183.8,4290526,1172.101777,1159.740273,1145.095048,15.84018521,14.61100684,64.10720277,2.92123109,0,-0.109815847
1180.8,2214855,1175.001185,1162.748805,1147.739859,16.25149191,14.93910385,62.78203409,0.699300699,0,0.14397019
1182.5,3050750,1177.50079,1165.570404,1150.314685,16.5241511,15.2561133,63.24567857,1.873788499,0,-0.89640592
1171.9,8977413,1175.63386,1166.474632,1151.913597,15.70387951,15.34566654,58.36348177,1.384202786,0,-0.366925506
1146.75,3763310,1166.005907,1163.656828,1151.531108,12.87598718,14.85173067,48.74824065,-0.399530985,0,1.818181818
1164.55,4276883,1165.520604,1163.784424,1152.495471,11.93361015,14.26810657,54.46594869,1.787431169,0,0.26190374
1167.5,3846497,1166.180403,1164.31522,1153.606917,11.29461265,13.67340778,55.35489141,0.938053862,0,0.00856531
